# Atm transactions from machine 02
# format: account number, type, amount
17,d,88.45
3,d,112.11
14,w,49.72
1,d,135.98
11,d,57.28
1,d,152.55
14,d,130.30
8,w,98.35
18,d,84.52
2,d,81.42
7,d,147.08
13,w,167.01
17,w,95.59
8,w,109.40
5,d,46.31
14,d,97.25
10,w,65.90
5,w,222.61
7,w,113.98
2,d,164.51
10,d,67.86
9,w,40.80
8,d,128.22
18,d,67.33
4,w,113.46
12,d,94.08
9,w,87.72
20,w,62.36
11,d,137.38
19,d,128.68
20,w,168.83
8,w,81.50
12,d,146.09
9,d,110.63
9,d,53.07
18,w,65.14
15,w,170.34
18,w,152.16
7,d,-5.05
2,w,138.28
6,w,114.31
16,w,61.28
13,w,129.01
16,d,209.99
1,d,158.37
11,w,125.19
9,d,53.62
16,d,61.31
10,w,72.77
8,d,58.31
4,d,94.62
6,d,101.69
12,d,133.01
20,w,155.78
19,w,105.78
18,d,67.11
12,d,129.43
15,d,141.21
16,w,124.22
11,w,41.15
5,d,89.30
5,d,103.40
4,w,84.73
17,w,117.41
7,w,34.91
17,d,126.41
1,d,79.63
17,d,112.93
7,d,82.34
2,d,175.22
17,w,-14.52
20,d,93.71
11,w,196.29
11,d,111.22
14,d,73.19
4,d,80.66
2,w,113.79
10,d,124.13
18,d,100.80
4,w,63.14
6,w,125.01
11,w,147.04
20,d,156.13
12,w,150.82
19,d,40.89
15,d,201.21
11,d,56.91
19,d,87.48
19,w,72.57
3,w,93.59
12,w,72.33
1,w,134.28
6,d,49.47
1,w,79.55
20,d,52.69
6,w,72.02
11,d,189.97
10,d,99.51
13,d,62.04
9,d,136.10
16,w,16.13
13,w,158.57
6,d,98.86
11,d,107.33
7,w,258.81
8,d,160.69
5,d,101.68
2,w,22.62
10,w,120.79
20,w,165.30
2,w,113.78
13,d,82.23
9,d,72.50
18,w,44.67
19,d,98.72
13,d,38.66
1,w,71.51
2,w,26.76
5,w,92.03
19,w,126.94
4,w,99.16
14,w,71.39
7,w,53.96
7,d,128.37
9,w,96.70
5,w,109.71
4,d,109.29
3,d,112.04
8,d,176.34
15,w,190.26
20,w,9.95
12,d,168.15
14,w,62.26
9,d,12.60
10,d,132.45
3,w,97.21
