# Atm transactions from machine 09
# format: account number, type, amount
17,w,33.74
1,w,131.53
4,w,106.63
7,d,82.35
13,w,36.28
5,d,108.46
9,w,90.31
16,w,146.42
1,d,182.74
6,d,95.68
7,d,135.45
4,w,167.39
3,d,167.37
11,w,93.47
8,d,139.11
11,d,39.75
6,w,66.78
4,w,30.55
18,w,92.54
9,d,86.21
16,d,7.09
11,d,111.81
20,d,105.20
20,w,163.67
3,w,54.56
3,w,112.77
6,w,43.05
17,d,19.46
9,w,187.21
4,d,105.00
7,w,221.70
6,w,108.53
4,d,85.99
4,w,127.79
14,w,135.37
15,w,85.61
12,w,63.16
15,w,128.46
19,w,130.55
17,w,94.70
11,w,80.14
1,w,113.79
14,d,70.81
17,w,149.06
17,w,112.82
12,w,153.83
10,d,67.99
8,d,-17.55
6,d,75.94
18,d,51.82
15,w,104.02
1,w,44.63
20,w,136.14
8,w,142.42
8,d,28.41
11,w,228.01
17,d,143.86
12,w,59.94
4,w,110.22
4,d,180.00
10,w,3.94
19,d,133.63
18,w,154.75
9,d,145.56
8,d,94.42
19,w,123.19
18,w,110.74
16,w,141.49
2,w,106.18
5,w,30.46
6,d,72.18
12,d,141.86
12,w,40.02
5,w,101.63
10,d,108.85
7,d,77.66
19,w,43.38
20,d,39.86
17,d,84.00
11,d,65.27
16,w,131.18
14,w,122.10
16,d,163.74
16,d,121.03
8,d,83.06
6,w,123.75
1,w,18.37
15,w,184.73
17,w,102.83
12,d,129.54
18,w,97.33
2,w,89.36
12,w,63.96
17,d,113.68
20,d,122.52
3,d,113.48
5,w,-32.12
2,d,94.00
18,d,140.42
2,w,21.33
8,w,159.74
20,d,162.08
1,w,139.10
8,d,126.75
19,d,157.51
2,d,148.08
20,d,21.77
16,d,66.55
11,d,38.33
18,w,84.73
7,w,99.77
5,w,99.44
11,d,47.69
20,w,156.10
13,d,128.42
10,w,69.16
12,w,87.02
9,w,103.04
16,w,107.09
18,w,16.45
9,d,149.58
1,d,70.88
18,d,90.65
19,d,69.04
5,d,0.46
8,w,109.63
18,w,220.15
10,d,102.97
2,d,128.21
11,d,89.08
2,w,186.09
4,w,91.86
16,w,60.37
4,d,62.68
14,w,65.71
13,w,65.62
9,d,76.25
1,d,154.83
10,w,117.38
11,d,101.77
11,d,95.97
5,w,80.77
5,d,154.15
11,d,86.39
1,d,55.64
17,w,60.84
7,w,50.62
15,w,84.25
7,w,103.36
16,d,174.76
5,d,133.88
9,d,89.79
8,d,128.51
17,w,128.85
18,w,117.01
14,w,122.10
2,d,12.05
1,d,55.44
16,d,67.10
13,w,112.88
2,w,132.88
19,d,94.24
8,w,-1.47
2,w,115.17
16,w,76.41
2,d,76.30
14,w,65.20
13,d,63.69
8,w,157.36
18,d,73.44
11,w,129.22
20,d,227.53
3,d,134.71
3,d,78.73
20,w,91.33
12,w,78.19
1,d,35.51
9,w,51.79
15,d,189.86
4,d,108.66
8,d,91.70
3,d,207.70
1,w,30.19
11,w,60.84
5,w,123.14
16,w,56.13
3,d,89.86
1,d,104.82
6,d,80.29
11,d,-19.06
10,d,46.29
10,d,134.87
19,d,136.22
8,d,40.03
18,d,5.11
1,w,75.72
15,w,189.89
2,d,120.02
11,w,103.82
13,d,171.09
2,d,87.58
8,d,136.66
18,w,158.65
10,d,5.26
12,d,72.38
7,w,148.25
16,w,121.54
19,w,144.42
7,w,104.88
20,d,103.07
20,w,112.33
9,w,69.19
2,w,59.30
6,w,0.76
18,w,74.99
15,d,60.62
12,d,17.46
1,d,61.29
16,d,77.50
16,d,211.55
16,w,68.21
4,d,46.62
14,d,198.90
20,w,107.24
9,w,67.97
8,d,107.52
19,d,66.22
18,w,59.36
18,d,59.20
9,d,71.52
2,w,189.55
11,d,83.36
11,d,37.83
18,d,76.91
15,d,50.90
16,w,97.16
16,w,84.36
16,w,125.97
6,w,134.60
10,d,164.30
5,w,128.89
18,w,139.88
9,w,74.42
9,w,143.79
1,d,68.22
8,d,96.21
3,d,51.97
20,d,-37.47
20,d,106.02
14,w,93.01
5,d,38.95
11,d,190.23
5,w,64.74
6,d,182.17
9,w,92.52
8,w,75.02
6,d,176.28
6,w,224.47
2,d,85.59
14,w,-10.86
10,w,107.21
18,w,143.03
20,d,44.98
1,w,26.91
14,d,116.45
18,w,150.21
3,w,48.24
1,w,198.92
4,d,121.16
18,w,98.27
4,d,30.21
19,w,59.88
16,d,128.24
19,w,71.52
4,w,241.45
12,d,20.78
12,w,74.83
11,w,57.37
19,w,147.36
6,w,104.77
20,w,136.39
9,d,110.79
10,d,71.32
20,d,91.83
2,d,96.27
3,d,112.34
4,d,86.34
6,d,0.56
6,w,39.37
7,w,23.09
2,w,227.90
10,d,122.68
12,d,190.85
18,w,72.87
9,w,95.91
18,w,28.94
20,d,136.92
2,w,68.82
10,w,138.29
13,d,90.97
14,d,-15.34
16,w,154.30
3,w,123.16
19,d,111.65
17,w,51.66
9,d,168.39
2,d,56.84
5,w,74.76
2,d,76.20
11,w,50.74
1,d,109.31
11,w,-4.54
20,d,110.52
12,w,47.92
3,d,104.67
5,d,110.16
19,d,70.80
12,w,127.20
4,w,94.77
20,d,123.56
20,w,85.65
16,w,93.46
19,d,145.43
6,w,147.55
6,w,184.60
5,d,134.97
2,d,133.59
4,w,69.75
2,w,151.35
9,d,105.68
4,d,124.14
5,w,73.68
3,d,127.97
6,d,102.81
6,d,86.99
18,w,137.51
6,w,299.42
14,d,184.25
19,w,138.88
3,d,170.50
12,w,118.15
10,w,118.58
19,w,18.20
5,d,94.04
12,w,96.84
18,d,-6.22
20,d,118.41
20,w,68.73
8,w,56.95
3,d,72.84
11,w,16.39
8,w,54.26
13,d,69.92
9,w,168.19
6,d,201.83
8,w,132.63
9,d,40.62
10,d,13.80
12,w,166.90
6,d,85.31
9,w,188.88
13,w,136.56
11,w,26.08
19,d,125.64
3,d,95.75
5,d,116.10
13,w,79.63
8,d,24.01
4,w,111.37
20,d,-0.23
3,w,113.38
11,d,77.04
8,d,8.55
18,d,37.83
19,w,69.62
11,d,11.58
8,d,112.27
16,w,147.58
5,w,166.72
16,d,141.14
11,d,5.23
12,w,144.78
9,w,18.75
7,w,100.94
6,w,-9.48
20,d,144.28
9,w,175.78
8,w,65.08
10,w,69.04
8,w,135.86
2,d,37.54
8,d,107.39
13,d,134.55
11,d,-5.53
6,d,107.92
16,d,93.75
16,d,92.92
11,w,142.93
19,d,127.23
1,w,28.58
15,d,125.62
15,d,53.37
7,w,-17.09
16,d,87.57
18,w,16.08
16,d,131.91
3,d,81.07
2,d,50.40
14,d,81.57
15,d,113.36
16,w,99.29
20,d,89.55
8,w,115.01
17,d,119.93
15,w,116.91
4,d,75.58
6,d,89.38
6,d,52.96
3,w,88.11
10,w,65.63
19,w,87.80
12,d,98.27
5,w,33.31
20,d,169.44
5,d,57.81
7,w,103.75
4,d,154.23
4,w,95.30
1,w,184.77
4,d,125.85
16,w,81.07
15,w,168.15
19,d,128.09
3,d,175.14
17,d,18.76
3,d,143.39
2,w,127.95
16,w,141.56
16,d,203.04
19,d,98.08
7,d,97.55
13,d,156.90
19,w,52.41
4,d,90.59
17,w,182.78
7,w,88.42
8,w,133.36
1,w,86.68
2,w,122.31
13,w,144.10
12,d,128.13
4,d,58.35
7,w,189.43
3,d,203.81
15,d,130.89
9,d,157.70
8,d,29.58
3,d,29.20
2,w,15.47
11,d,86.56
19,d,104.80
17,d,56.34
1,w,57.41
9,w,130.59
16,w,38.90
4,w,89.97
12,w,175.47
10,w,102.59
1,d,175.99
7,w,124.78
17,d,90.74
6,w,134.98
15,w,190.80
10,d,153.20
13,w,-1.20
15,d,110.53
7,d,116.37
2,d,135.82
16,w,90.45
10,d,138.55
6,d,92.28
12,d,-0.94
6,d,51.68
14,d,100.66
7,d,29.98
10,d,52.23
18,w,116.46
4,d,160.56
1,d,150.83
4,d,124.53
19,d,87.84
11,w,157.44
1,w,57.74
19,d,134.80
5,d,54.49
17,d,72.98
9,d,106.11
1,d,135.85
18,w,147.98
11,d,72.95
7,w,47.18
15,w,97.57
20,w,117.04
5,w,51.53
16,d,141.35
9,w,86.59
2,w,100.73
6,w,108.51
10,d,118.83
3,d,103.71
8,d,153.63
16,d,103.99
3,w,147.11
4,d,161.45
1,w,98.02
1,d,83.09
18,d,55.96
10,w,218.37
9,w,16.65
17,w,56.59
16,w,127.30
6,d,50.18
8,w,128.96
2,d,79.99
14,d,105.38
12,w,106.34
7,w,159.09
5,w,79.37
11,d,61.10
12,w,113.64
3,w,79.76
8,w,74.99
8,w,139.51
16,w,102.41
10,d,78.29
3,w,48.93
9,d,135.91
10,d,221.97
5,w,129.49
20,d,111.49
4,w,111.58
7,d,161.66
3,d,88.96
2,w,201.92
16,w,83.34
18,d,72.53
14,w,91.42
20,d,71.53
10,d,63.19
16,w,16.41
9,w,98.03
11,w,135.73
2,d,66.74
2,d,155.79
11,d,47.57
13,w,92.97
7,d,146.80
4,d,83.34
6,d,80.12
4,w,96.99
1,d,92.05
18,w,104.51
8,d,154.92
6,w,191.81
3,d,128.18
11,w,66.58
11,d,91.38
15,w,35.49
18,d,54.26
15,w,-9.11
20,d,127.19
18,w,125.11
7,d,138.83
14,d,50.19
15,d,47.33
20,d,87.00
17,d,139.98
9,d,55.26
6,d,44.26
15,w,195.37
6,w,54.91
2,d,60.89
12,w,101.50
6,d,85.38
5,d,145.63
14,d,151.26
7,w,197.42
9,d,142.16
20,w,198.12
14,w,37.36
10,d,115.45
3,d,95.48
20,d,182.73
9,w,53.77
12,w,169.03
5,d,135.11
12,d,145.22
1,d,42.98
7,d,122.61
16,w,144.94
6,d,38.63
19,d,72.15
8,d,118.02
10,d,181.11
9,d,126.53
8,w,82.07
7,w,131.20
2,w,86.37
16,w,98.20
2,w,147.64
17,d,77.74
19,d,89.85
7,d,59.22
2,d,127.09
18,d,144.91
11,w,113.72
3,w,61.69
19,w,206.59
15,d,175.12
19,d,112.34
2,d,105.46
2,d,82.87
13,w,200.70
1,w,86.20
5,d,117.86
12,d,203.11
2,w,174.60
12,d,147.08
14,w,99.44
13,w,41.27
10,w,76.76
9,d,140.10
8,d,61.40
12,w,93.97
2,w,108.61
13,d,47.57
17,d,155.80
17,w,109.82
17,w,182.71
13,d,130.79
20,w,82.56
4,d,213.00
3,w,117.35
20,w,87.85
4,w,213.38
4,d,146.75
17,d,25.79
19,w,107.42
6,w,55.42
5,w,114.94
5,d,17.72
1,w,135.74
4,d,99.70
16,d,117.30
9,w,65.65
16,d,92.21
6,w,58.78
7,w,82.12
8,d,161.06
17,d,129.32
20,w,123.42
3,d,115.36
16,w,-3.30
11,w,56.11
17,d,49.18
8,w,38.64
12,w,120.41
6,w,106.41
16,d,104.78
8,d,224.70
16,d,67.42
10,w,160.81
19,w,107.39
1,w,135.55
10,w,96.84
6,w,109.34
14,w,144.44
5,w,125.38
3,w,88.14
7,w,15.21
8,d,171.21
19,d,140.32
10,d,73.67
10,d,78.19
8,w,107.43
16,d,100.64
19,w,98.65
5,w,111.94
11,w,126.95
10,d,104.31
8,w,72.09
10,d,64.13
1,w,-9.32
1,w,136.76
20,d,28.52
2,w,16.41
8,w,77.59
3,d,17.83
20,d,84.80
19,d,48.40
7,w,104.58
18,w,176.45
15,d,126.95
5,w,-9.19
5,w,114.23
18,d,77.98
7,w,102.29
2,w,-1.87
8,d,65.85
16,w,59.42
10,d,22.55
7,w,151.64
1,w,47.88
17,d,81.99
8,w,147.39
13,d,19.40
10,d,168.30
11,d,142.32
6,w,52.77
10,d,104.69
16,w,84.02
18,w,44.38
18,d,133.04
11,w,135.38
19,d,93.66
15,d,38.62
4,d,76.01
8,d,93.53
8,w,74.33
16,d,69.73
7,w,103.09
5,d,67.77
11,d,123.42
5,w,120.73
1,w,24.26
7,d,92.74
9,d,17.55
11,w,89.77
1,d,165.83
5,w,89.65
16,d,99.90
4,w,160.03
3,w,127.10
11,d,107.45
16,w,124.30
3,w,183.04
11,d,106.03
4,w,61.38
2,w,152.68
12,w,139.83
11,w,80.33
2,w,64.93
14,w,177.54
19,d,138.20
6,d,45.61
15,w,69.19
6,w,205.13
18,w,27.51
1,w,119.85
4,w,99.63
12,d,158.26
17,d,64.04
16,d,85.54
2,w,43.00
6,w,71.28
5,d,155.10
15,d,107.94
8,w,157.96
19,w,53.55
1,d,160.19
13,d,129.98
10,d,110.52
16,w,77.82
5,d,113.11
17,d,83.14
7,d,110.75
10,d,171.39
12,d,69.38
19,w,140.66
11,w,37.15
6,w,77.11
15,w,-3.14
8,d,176.75
16,w,26.12
16,w,126.44
18,d,87.26
11,w,22.61
18,d,13.89
17,w,127.49
7,w,64.28
7,w,116.57
8,w,106.35
12,w,76.76
8,d,138.67
12,d,137.51
2,d,57.03
6,d,170.71
6,w,81.17
16,d,112.10
4,d,14.99
10,d,66.65
16,w,48.36
1,d,53.14
9,w,59.34
10,d,101.33
11,w,171.42
5,w,157.42
4,d,109.47
16,d,120.57
3,w,66.67
5,w,58.14
5,d,145.72
1,w,143.68
7,w,75.68
12,w,67.05
3,w,241.91
7,d,168.03
9,d,55.72
10,d,71.86
17,w,172.86
4,d,146.47
20,w,98.37
19,w,127.93
19,d,83.48
8,d,35.62
7,d,113.60
19,w,124.84
13,d,89.13
7,w,45.39
16,d,79.16
16,w,87.83
13,d,98.35
15,w,94.46
20,d,189.72
9,d,137.71
2,w,104.57
1,d,55.27
1,d,66.41
1,d,58.12
14,w,141.75
8,d,107.48
12,w,141.97
18,w,77.41
9,d,125.71
9,d,58.26
4,w,85.51
17,w,16.79
2,w,149.60
3,d,92.46
7,d,141.35
9,d,135.79
14,d,179.21
15,w,53.36
10,w,163.39
2,w,63.85
17,d,96.01
9,w,171.36
7,w,55.89
13,d,110.13
18,w,107.44
6,d,122.93
18,w,67.61
8,w,134.95
14,d,124.70
14,w,107.37
16,w,101.65
13,w,157.53
8,w,139.13
4,d,56.01
6,w,148.01
10,d,118.88
13,d,10.48
2,d,172.33
13,w,92.48
9,w,122.85
18,w,50.19
12,w,57.21
3,d,63.79
12,w,126.98
1,w,63.04
14,d,64.27
11,d,115.18
20,d,129.06
3,d,33.38
13,w,83.25
10,w,77.29
11,d,154.50
3,w,82.80
11,w,71.99
11,w,130.67
1,w,79.50
19,w,68.90
12,w,110.89
11,d,120.37
9,d,76.83
11,w,175.25
7,d,113.50
3,d,139.39
6,w,112.05
9,d,143.06
12,d,140.16
1,w,80.56
7,d,106.86
12,d,85.82
7,w,30.99
13,w,127.21
18,w,50.66
17,w,69.50
17,d,59.72
14,w,183.58
3,d,124.30
3,d,55.08
13,d,132.59
13,w,125.18
12,w,10.34
10,w,26.86
10,d,165.06
14,w,155.06
14,d,6.77
11,d,117.56
15,w,76.02
12,d,77.85
10,d,111.13
12,d,52.98
8,w,132.61
16,d,56.23
11,w,196.54
4,d,141.38
7,d,147.91
5,d,43.78
10,w,111.75
5,d,99.11
6,d,212.15
14,w,129.43
14,d,115.38
14,d,208.86
17,w,70.16
15,w,158.12
3,w,106.43
4,w,92.77
19,w,111.90
8,d,68.78
20,w,23.99
11,w,112.36
7,d,72.49
1,w,141.67
18,w,106.43
9,d,110.34
8,w,73.41
3,d,150.63
19,w,6.77
18,d,180.45
14,w,68.92
8,w,122.94
12,w,55.18
15,w,30.84
13,w,141.34
8,w,58.03
2,d,89.90
9,w,39.29
18,w,88.16
19,w,60.83
2,w,142.53
17,w,114.97
12,w,152.62
5,d,103.82
5,d,75.57
9,d,130.64
18,w,45.41
10,d,35.64
5,w,108.45
15,w,60.20
20,w,59.73
10,w,88.58
15,w,151.56
13,w,123.72
10,w,46.90
6,w,120.74
5,w,10.50
15,d,205.12
19,w,144.12
13,w,111.31
5,d,78.02
4,d,173.95
5,w,142.58
9,w,28.52
12,w,121.88
4,d,78.54
1,w,97.37
15,d,45.05
14,w,68.21
19,w,58.15
14,d,17.81
20,w,96.17
7,w,104.32
6,w,115.33
17,w,102.88
12,d,62.86
18,d,42.15
20,d,90.30
13,w,118.43
2,d,76.81
5,w,32.20
6,d,5.53
17,d,109.12
13,w,129.37
2,w,137.64
8,d,142.75
16,d,156.22
20,d,152.27
17,d,-14.38
9,w,161.08
4,d,92.79
2,w,40.52
13,w,199.90
6,w,67.91
11,w,193.26
10,d,102.57
1,w,136.21
10,w,80.81
9,w,60.10
12,d,-9.07
2,d,139.32
17,d,1.58
14,w,67.24
15,d,83.56
3,w,70.98
6,w,88.20
15,w,117.72
18,w,106.19
10,w,98.77
1,d,68.94
8,d,92.63
20,d,127.28
17,d,24.55
15,d,125.40
1,w,65.37
11,d,70.19
3,w,142.74
16,d,139.61
3,d,109.09
6,w,67.06
3,w,142.65
15,d,82.98
5,d,94.27
8,w,110.65
14,d,116.55
14,w,124.27
6,d,73.68
19,w,141.08
12,w,137.13
10,w,45.10
15,w,101.35
13,d,79.57
6,d,127.23
14,d,19.83
14,w,175.74
12,w,105.38
12,w,199.59
3,w,105.61
3,w,71.23
4,w,86.19
7,d,44.56
7,w,243.66
11,d,150.71
7,d,124.13
17,w,76.44
15,w,138.22
16,w,129.74
6,w,98.83
5,d,20.51
16,w,50.86
2,d,108.83
10,w,102.50
16,d,74.51
4,d,96.05
6,d,114.76
8,d,139.78
9,d,103.29
11,w,-14.85
5,w,150.77
12,d,108.84
16,d,140.36
12,d,56.31
15,d,161.11
16,d,22.97
11,w,73.23
17,d,116.41
16,w,77.24
19,d,27.31
16,d,161.34
19,w,82.07
8,w,186.94
13,d,35.96
19,d,158.73
13,d,71.25
7,w,169.16
4,d,120.79
14,w,33.48
11,d,71.11
13,d,231.76
15,d,134.57
20,d,8.17
2,d,63.78
18,d,31.72
12,w,71.59
15,d,84.80
14,d,107.75
14,w,40.43
1,d,80.34
11,w,53.35
6,w,100.20
19,w,112.10
4,w,135.73
13,w,87.30
13,d,42.95
12,d,72.97
19,d,147.79
2,w,162.73
8,w,141.64
17,w,77.33
3,d,45.59
7,d,131.31
16,d,136.21
2,d,71.60
6,d,160.93
9,d,73.49
18,d,131.05
8,w,19.60
2,d,29.22
12,d,147.07
15,w,82.97
17,w,188.07
20,d,101.36
9,w,57.29
12,w,121.37
20,w,75.35
19,w,118.60
8,w,132.62
4,d,123.22
18,w,128.42
13,w,101.01
15,d,106.21
15,d,114.04
7,d,114.20
8,w,44.33
7,w,76.52
9,w,92.45
19,w,180.48
6,w,149.04
19,d,90.28
10,w,124.40
6,d,84.84
1,d,68.32
9,w,153.02
10,w,81.97
13,d,116.25
6,w,77.68
2,w,113.61
6,w,119.40
11,d,66.73
5,w,72.82
18,w,116.22
3,w,143.57
14,d,67.20
16,d,152.80
5,w,77.92
2,w,-19.10
19,w,118.97
20,w,48.53
1,w,41.81
19,d,55.82
8,w,105.86
19,d,207.55
14,w,97.55
