# Atm transactions from machine 06
# format: account number, type, amount
12,w,138.84
7,d,54.81
4,w,142.13
5,w,144.89
19,d,144.31
19,d,36.46
16,d,16.10
14,d,192.95
13,d,-27.04
9,w,170.48
19,w,155.82
16,w,168.10
4,w,9.57
17,w,171.74
20,w,121.41
11,w,193.93
16,w,118.60
18,w,102.22
9,w,159.35
15,w,27.51
20,w,144.21
10,w,173.74
9,w,58.95
11,d,117.29
15,d,23.98
8,w,170.72
19,d,105.51
8,w,138.91
14,d,141.11
1,w,96.34
1,d,-24.03
5,d,126.07
6,d,95.63
13,d,99.64
9,w,80.94
10,w,75.68
2,d,164.79
15,w,222.18
13,d,49.22
3,w,107.94
9,w,48.34
20,w,21.45
3,d,159.12
12,w,136.73
17,w,156.81
1,d,126.72
5,w,141.97
8,w,97.28
3,w,215.37
4,w,187.06
16,w,36.58
18,w,151.66
16,d,84.18
2,w,98.45
19,d,119.50
1,d,40.94
15,w,153.51
9,d,90.08
14,w,102.33
11,d,10.63
4,w,84.74
9,d,86.69
4,d,173.06
8,d,86.21
2,d,50.32
5,d,127.08
5,w,104.17
10,w,131.05
12,w,45.67
9,d,100.54
6,d,121.99
17,w,98.25
9,w,48.05
5,d,126.35
6,w,72.24
7,w,33.09
9,d,4.06
5,d,120.46
16,d,144.84
18,d,171.82
8,d,55.94
12,w,55.90
11,w,168.23
20,d,42.23
6,d,99.89
5,d,146.69
6,d,75.35
1,w,99.19
6,w,136.35
6,d,116.11
17,w,150.84
12,d,71.34
6,d,85.24
18,d,92.56
12,w,155.60
3,d,41.12
6,w,67.23
9,w,135.10
18,d,38.51
13,w,130.77
19,w,120.51
9,w,9.18
12,w,139.43
8,d,87.43
16,d,96.44
19,d,59.40
8,w,35.49
15,d,88.24
18,d,139.37
11,w,132.58
5,d,138.25
19,w,29.47
7,d,111.36
1,d,64.46
13,d,72.09
19,w,76.21
16,w,57.37
16,d,39.61
2,w,132.06
8,d,117.99
4,w,63.85
6,d,42.43
19,w,-15.88
8,w,111.31
4,d,160.20
13,w,147.27
5,d,116.56
2,w,65.85
