# Atm transactions from machine 08
# format: account number, type, amount
5,w,207.70
4,w,165.21
17,w,132.67
13,w,80.98
10,w,77.90
6,d,187.89
2,d,113.02
8,d,142.88
8,w,51.50
11,w,64.83
6,w,218.72
11,w,84.51
16,d,51.26
19,d,99.48
3,d,129.42
14,w,152.98
3,d,150.32
1,d,94.92
5,w,102.54
16,w,94.43
6,d,136.71
8,d,168.34
14,w,21.46
17,w,83.93
12,w,95.39
7,w,187.99
3,d,16.24
18,d,150.91
9,d,86.86
15,d,92.80
13,w,121.01
7,w,129.80
1,w,207.80
6,w,214.97
17,d,69.88
11,w,34.65
9,d,50.76
19,d,141.95
6,w,100.71
14,d,147.52
12,w,74.94
12,d,85.91
12,w,102.54
16,d,25.89
20,w,125.51
16,d,109.20
1,w,80.25
3,w,117.99
6,w,45.53
4,d,52.22
7,w,94.36
14,d,83.76
11,w,71.50
7,w,106.62
6,w,156.76
16,d,124.82
14,w,176.34
18,w,126.52
4,w,108.44
10,d,231.40
17,w,15.14
6,d,33.57
12,d,68.89
11,d,99.55
18,d,248.50
3,d,79.36
18,w,55.68
16,w,83.00
15,w,135.60
5,w,63.16
9,w,164.74
17,w,137.13
16,d,118.41
19,w,78.93
18,w,118.50
2,d,52.46
14,d,66.27
8,d,82.76
17,w,67.13
5,w,151.19
3,d,195.41
12,w,85.97
4,w,79.19
14,d,112.45
5,d,102.57
6,d,118.00
6,w,120.01
16,d,48.77
11,d,81.62
17,w,139.13
6,w,123.41
4,d,232.63
10,d,124.61
9,w,174.35
6,d,34.06
4,d,102.52
5,w,156.74
19,w,126.72
8,w,190.07
20,d,113.79
18,w,88.78
1,w,94.03
5,d,105.36
6,w,106.07
12,d,91.20
16,w,158.73
9,w,25.96
5,d,61.92
11,d,97.77
5,d,46.54
18,w,-22.28
11,d,114.63
3,w,73.49
20,d,64.81
16,w,6.38
16,d,123.66
7,w,27.21
9,d,50.95
3,d,175.72
14,w,112.58
10,d,39.53
10,d,88.56
17,d,94.05
9,d,136.09
10,d,92.84
2,d,65.93
9,d,30.94
18,w,167.11
1,d,146.26
20,w,46.66
13,d,97.85
11,d,74.52
12,d,78.16
17,d,12.05
