# Atm transactions from machine 03
# format: account number, type, amount
7,w,67.60
9,w,37.35
5,d,102.22
13,w,95.84
8,d,14.01
6,w,172.50
19,d,78.90
16,w,178.76
13,w,110.78
4,w,71.13
12,d,167.43
4,w,93.49
5,w,138.99
7,w,164.00
11,w,-24.56
8,w,66.97
10,w,121.42
8,d,142.17
19,w,74.32
3,w,80.92
7,w,85.76
15,w,166.30
10,w,129.71
18,d,19.17
6,d,19.07
1,w,168.12
20,d,66.35
4,d,78.84
14,d,56.28
5,d,102.41
15,w,44.98
14,d,252.39
19,d,128.62
11,w,117.77
12,d,49.82
18,d,45.78
20,w,157.65
19,w,20.20
4,d,226.22
16,d,165.85
3,d,-8.33
7,w,126.01
9,w,73.80
10,w,164.14
9,w,123.43
10,w,113.69
15,d,77.50
15,w,56.25
19,d,-2.93
14,w,236.28
10,d,74.31
6,w,1.53
7,w,105.95
16,w,43.13
17,w,124.72
4,d,92.68
3,d,36.92
20,d,64.18
20,w,79.44
6,d,34.81
7,w,75.08
7,d,189.68
4,w,15.07
4,d,47.75
14,w,147.31
12,w,118.38
14,w,-56.23
7,w,84.31
17,d,114.03
19,w,136.41
2,w,40.45
13,d,77.64
7,w,122.89
1,w,115.29
9,w,88.17
7,w,169.35
6,d,27.89
12,d,67.85
10,w,43.46
11,d,113.39
14,w,91.55
6,w,87.34
6,w,104.65
4,d,132.59
16,d,10.15
12,w,50.42
4,d,136.74
6,d,125.41
8,d,146.89
2,w,51.52
7,w,115.31
19,w,99.22
2,w,122.52
17,w,-16.27
20,w,134.71
15,d,81.58
10,w,74.02
20,d,101.59
4,w,63.36
18,w,113.53
10,w,73.36
7,d,65.32
6,d,107.42
15,d,108.17
17,w,70.67
10,d,204.46
11,d,123.20
10,w,90.09
15,w,35.60
19,w,136.12
7,w,211.04
8,w,78.77
15,w,62.56
1,d,-25.36
18,w,79.85
17,d,113.00
10,w,53.23
16,d,141.73
15,w,122.10
5,w,70.23
16,d,91.01
7,w,99.48
7,w,47.31
2,d,25.24
1,w,13.11
11,w,99.78
10,d,-22.56
2,w,94.70
5,w,74.28
7,w,89.03
2,w,163.62
10,d,152.55
13,d,174.41
7,w,66.77
2,w,75.38
19,w,69.53
18,w,81.91
11,d,136.97
14,w,120.85
13,d,115.87
11,w,78.59
4,d,157.99
5,d,132.32
4,d,130.37
7,w,224.85
10,d,64.79
17,d,152.54
4,d,174.96
9,w,91.87
11,d,27.02
3,w,87.38
13,w,76.80
20,w,34.98
20,d,162.70
8,w,111.33
3,d,105.00
6,d,168.28
13,d,95.76
16,d,114.11
4,w,146.60
16,w,121.17
8,w,113.44
18,d,127.22
4,d,125.68
3,w,62.58
16,d,106.20
2,d,53.03
2,w,91.89
10,w,92.21
12,w,144.87
3,d,81.59
17,w,91.38
7,w,113.76
2,w,59.46
2,w,121.24
12,d,208.69
13,d,77.78
10,d,69.33
10,d,61.68
4,w,3.01
19,d,89.57
13,d,141.85
11,d,113.66
16,w,92.71
14,d,100.80
11,w,220.39
20,d,29.89
6,w,114.83
