# Atm transactions from machine 01
# format: account number, type, amount
5,w,118.92
6,w,68.44
17,w,97.92
2,w,107.71
13,d,160.27
2,d,122.70
4,w,44.73
10,d,79.54
5,w,66.93
11,d,106.68
11,w,125.42
18,w,141.06
10,d,103.63
14,d,90.96
8,w,43.46
4,w,110.24
6,d,151.97
15,d,81.91
20,d,54.64
14,w,104.90
3,w,118.52
17,d,122.58
8,d,126.65
13,d,188.42
19,w,83.83
2,w,68.36
7,d,94.40
2,d,33.24
18,d,121.98
13,d,3.60
6,w,219.90
8,w,129.40
17,w,136.59
18,w,46.61
4,w,34.23
7,w,116.59
9,d,73.40
14,w,120.09
9,w,132.06
2,d,58.61
16,d,153.91
11,w,123.50
5,w,149.32
19,w,91.83
3,d,128.37
10,d,97.66
8,d,156.15
4,d,76.68
15,w,152.07
14,d,132.67
12,w,110.10
11,w,116.67
4,d,118.39
9,d,108.51
15,w,37.62
15,d,29.67
8,w,136.94
18,d,-4.22
6,w,70.29
20,d,105.67
20,d,116.98
2,w,86.05
9,d,55.80
19,w,120.38
9,d,126.52
2,w,86.60
5,w,82.53
1,w,147.67
9,d,60.54
14,d,63.68
6,w,113.73
1,d,164.97
2,d,112.83
3,d,94.76
8,w,143.18
20,d,101.18
18,d,80.90
12,w,72.42
20,w,182.82
19,d,214.14
5,d,55.92
16,w,60.99
3,w,56.71
13,w,93.77
5,w,58.68
20,w,153.04
13,d,136.85
1,d,127.41
16,w,73.97
5,w,193.21
3,d,119.25
2,w,75.25
13,d,80.68
1,d,55.05
14,w,134.56
5,d,101.74
14,w,81.40
13,w,34.17
20,w,34.82
18,d,87.07
3,d,56.61
7,w,81.80
12,d,147.94
4,d,170.78
16,w,119.16
5,d,157.23
16,d,123.88
3,w,123.51
20,d,192.56
16,w,96.95
15,d,164.23
8,w,131.26
13,d,84.71
4,w,143.97
9,d,138.29
10,d,117.07
3,d,209.57
18,d,168.42
6,w,66.75
13,d,75.27
5,w,66.21
8,w,60.58
14,d,44.03
9,d,60.18
17,d,55.51
16,d,108.68
10,w,51.10
8,w,39.52
6,w,113.44
8,d,100.90
10,d,111.93
20,d,102.55
2,w,198.38
8,w,92.32
9,d,84.36
5,d,73.51
3,d,166.54
4,d,147.30
3,w,126.31
12,w,164.76
6,d,97.82
1,w,104.74
4,d,97.48
17,d,179.12
19,w,92.62
8,w,67.96
18,d,79.68
11,d,73.84
9,d,58.18
1,d,141.89
1,w,117.87
2,w,111.09
7,w,82.89
8,d,163.71
9,d,40.34
16,d,85.02
1,d,107.31
19,w,174.46
20,d,34.13
18,w,134.45
14,w,76.97
17,d,159.05
16,d,105.55
17,w,115.38
18,d,120.91
2,d,156.95
9,w,144.16
13,w,74.12
12,w,93.07
5,w,123.67
11,w,173.13
4,w,63.89
7,w,47.40
2,w,26.10
20,w,143.08
2,w,188.09
11,d,124.72
3,w,5.28
20,w,91.83
15,d,107.66
3,d,215.68
3,d,103.64
8,w,35.97
7,w,106.74
17,w,131.04
1,d,75.57
10,d,140.04
13,w,92.09
11,d,111.99
17,w,163.96
3,d,95.16
13,d,105.88
7,w,98.13
20,w,78.82
18,d,157.77
1,d,138.79
9,w,161.47
1,d,224.68
19,d,149.19
10,d,29.55
12,w,34.14
6,w,66.90
2,d,83.79
5,d,92.81
9,w,15.13
14,w,94.82
13,d,145.93
4,w,93.29
18,d,-19.47
15,d,33.10
7,d,119.96
6,d,55.21
5,d,106.71
15,w,77.79
13,d,105.32
18,d,113.18
20,w,143.51
4,w,60.94
18,d,98.03
9,d,77.30
15,w,71.58
7,w,71.75
16,w,110.10
11,w,29.98
19,d,150.60
14,w,89.13
3,w,55.22
2,w,29.83
17,w,21.06
6,w,31.84
20,w,52.75
16,d,120.90
17,d,190.73
17,w,98.96
4,w,65.99
8,d,95.19
5,d,91.44
7,d,134.89
9,d,55.79
9,d,79.46
6,d,120.14
7,w,133.84
14,d,146.30
7,w,26.10
12,w,188.75
3,w,173.02
11,w,230.73
13,d,176.98
9,w,79.90
18,w,93.63
