# Atm transactions from machine 07
# format: account number, type, amount
8,d,-38.40
16,w,34.71
15,d,111.57
5,d,20.47
10,w,67.57
9,d,37.47
3,d,141.03
17,w,158.14
4,d,191.03
10,w,140.71
3,d,170.40
11,d,112.03
1,w,176.93
6,d,193.98
5,w,123.46
12,w,110.49
5,w,-6.02
16,d,142.17
2,w,70.65
3,d,137.72
14,d,145.20
17,w,134.96
3,d,77.80
3,d,112.83
8,d,125.84
7,w,157.30
12,w,132.23
19,w,83.90
17,d,100.79
17,d,1.64
19,w,98.30
16,w,85.00
17,d,144.82
6,w,154.11
2,d,159.49
8,w,71.67
17,w,148.49
10,d,102.43
4,w,49.05
2,w,125.59
15,w,45.90
13,w,74.97
18,d,37.02
18,w,45.60
9,d,161.32
11,d,90.04
20,d,194.48
20,w,175.48
17,d,160.39
10,w,50.45
16,d,36.02
4,d,20.95
15,w,147.95
20,w,64.28
8,d,59.73
16,d,105.71
6,d,103.55
1,w,55.79
6,d,203.12
9,d,232.44
4,w,125.57
10,w,77.76
19,d,23.26
16,w,56.16
1,d,128.03
9,w,131.92
12,w,64.34
13,d,145.46
10,d,101.71
17,w,135.17
14,d,97.85
2,w,121.71
4,d,205.60
17,w,155.50
8,w,84.60
20,d,22.68
20,d,147.28
7,w,157.00
19,d,137.31
10,w,131.08
5,d,63.77
20,w,100.07
15,d,47.37
12,w,56.42
19,d,95.98
18,d,55.67
1,d,129.03
1,w,119.84
14,w,222.71
5,d,162.93
13,d,196.47
3,d,38.68
8,w,153.75
12,w,123.47
17,w,42.35
8,d,237.49
5,d,24.52
20,w,30.20
9,w,137.52
20,d,90.81
19,w,69.05
4,d,157.53
17,w,109.38
2,w,58.14
13,w,93.91
14,d,127.35
13,w,119.85
14,w,64.62
8,w,65.66
10,w,43.98
5,w,86.75
8,d,125.58
3,w,55.01
8,w,90.82
17,w,90.51
10,d,136.98
10,w,94.94
10,d,199.54
3,w,87.68
18,d,99.00
1,d,57.91
1,d,59.00
3,d,19.65
18,d,93.39
13,w,41.35
9,w,97.73
3,d,86.77
17,d,104.50
9,d,114.10
11,d,146.31
7,d,62.81
19,d,181.07
17,w,191.33
5,w,110.92
16,w,147.66
6,d,55.48
5,w,221.14
15,d,117.09
8,w,55.34
12,d,57.73
10,w,172.65
20,d,87.60
15,d,167.73
13,d,71.56
7,w,119.34
9,w,88.28
8,w,102.52
6,d,86.43
15,d,121.06
12,d,112.10
8,d,131.64
2,d,95.57
4,d,158.71
17,w,158.26
12,d,151.90
10,d,153.69
13,d,104.73
1,w,118.61
4,d,103.43
5,d,37.78
14,w,85.79
16,w,118.92
5,w,186.33
15,w,30.49
15,w,127.64
8,d,119.65
15,w,146.30
4,d,28.98
20,d,57.66
1,d,113.63
14,w,46.13
16,d,57.23
1,w,90.41
8,d,141.46
6,d,42.84
11,w,110.03
20,d,74.09
3,d,119.67
20,d,14.45
9,w,21.55
15,d,49.48
7,w,73.54
5,d,81.20
7,d,197.47
18,d,123.31
15,w,154.85
12,w,43.06
11,d,-7.66
3,w,77.27
8,d,210.81
8,d,39.99
5,w,92.40
15,d,44.10
9,d,92.66
3,d,140.91
10,d,126.11
7,d,119.16
9,w,94.67
18,d,164.93
5,d,93.77
16,w,97.91
4,w,179.67
11,w,79.76
20,w,77.92
17,d,213.02
18,d,140.84
20,w,72.70
5,d,114.01
11,w,95.68
14,d,38.34
4,w,175.21
1,d,117.35
8,w,132.50
18,d,178.96
6,d,74.92
11,d,73.64
2,d,142.85
14,d,132.33
4,d,64.85
5,d,65.65
16,d,69.98
5,d,108.22
8,d,129.20
14,w,84.47
3,w,131.77
7,d,98.83
20,w,41.06
5,w,145.41
15,d,65.02
14,w,126.16
16,d,83.18
4,d,81.65
16,w,76.50
8,d,106.96
6,d,63.39
1,d,144.19
2,d,116.53
16,d,133.47
8,w,15.93
3,d,12.86
15,w,62.08
20,w,113.93
9,d,101.49
20,w,134.76
8,w,48.19
5,w,131.37
20,w,183.24
1,w,94.06
10,w,152.17
1,d,71.09
15,w,64.61
3,d,67.27
2,w,156.18
20,d,-18.25
18,d,111.61
16,d,156.89
1,w,-27.40
5,d,228.44
10,d,39.64
2,d,122.68
5,w,112.69
19,d,88.79
1,d,210.53
12,w,55.02
12,d,154.64
7,d,68.50
11,w,83.73
7,d,79.79
1,w,100.80
15,w,171.13
19,d,-54.32
4,w,117.21
9,d,115.00
5,d,115.81
16,w,165.13
20,w,-22.83
11,w,163.66
8,w,216.79
12,d,45.22
4,d,142.10
20,d,110.31
7,w,152.00
7,w,48.88
5,w,30.21
1,w,55.91
9,d,68.90
18,w,103.17
12,d,75.32
1,w,74.98
8,d,122.45
17,d,37.00
5,d,135.05
9,d,76.69
2,d,14.96
6,w,22.72
20,w,100.62
15,d,137.91
11,w,5.23
6,w,177.50
19,d,73.78
10,d,136.33
13,w,75.65
2,d,149.18
2,d,42.20
10,w,155.78
1,w,74.65
3,d,87.23
1,w,143.69
5,d,49.80
